row_index,entry_id,fold
124,mp-1194415,1
125,mp-557946,3
126,mp-648179,3
127,mp-1104174,4
128,mp-1179128,1
129,mp-28186,3
130,mp-505300,5
131,mp-1722,3
132,mp-3407,3
133,mp-571457,4
134,mp-653120,5
135,mp-972048,1
136,mp-1104676,3
137,mp-19097,3
138,mp-672346,3
139,mp-683684,3
140,mp-696673,3
141,mp-505660,2
142,mp-569547,3
143,mp-22640,5
144,mp-557938,3
145,mp-561139,4
146,mp-15868,5
147,mp-1198610,2
148,mp-21524,2
149,mp-27565,4
150,mp-504722,5
151,mp-649334,5
152,mp-510306,5
153,mp-557552,4
154,mp-558345,4
155,mp-1202947,2
156,mp-7250,3
157,mp-560959,5
158,mp-2571,3
159,mp-542135,4
160,mp-15635,5
161,mp-21717,5
162,mp-555619,1
163,mp-680308,1
164,mp-540672,3
165,mp-1198917,3
166,mp-1202614,5
167,mp-1198455,2
168,mp-1198953,1
169,mp-25275,4
170,mp-818574,2
171,mp-3930,3
172,mp-10754,4
173,mp-733866,1
174,mp-1193816,2
175,mp-29250,2
176,mp-571284,4
177,mp-1202524,2
178,mp-29360,3
179,mp-19470,2
180,mp-744682,4
181,mp-732195,3
182,mp-1200525,2
183,mp-1204423,3
184,mp-1191089,1
185,mp-583800,1
186,mp-644281,5
187,mp-1193087,5
188,mp-1204035,1
189,mp-781901,5
190,mp-707926,4
191,mp-10118,4
192,mp-1017553,1
193,mp-102,3
194,mp-1063661,2
195,mp-1068786,3
196,mp-1069288,1
197,mp-1077988,5
198,mp-1078053,2
199,mp-1078249,2
200,mp-1078464,5
201,mp-1079560,5
202,mp-1079717,5
203,mp-1079855,1
204,mp-1095353,3
205,mp-1095521,5
206,mp-1102167,5
207,mp-1102559,5
208,mp-1102664,2
209,mp-1103148,3
210,mp-1103473,1
211,mp-1104157,1
212,mp-1105860,1
213,mp-11300,3
214,mp-11501,2
215,mp-11503,3
216,mp-11800,5
217,mp-1180346,4
218,mp-1180742,1
219,mp-1182169,5
220,mp-1188065,1
221,mp-1190013,2
222,mp-1192675,2
223,mp-1193661,4
224,mp-1193905,3
225,mp-1194910,5
226,mp-1195097,2
227,mp-1195393,3
228,mp-1195464,3
229,mp-1195553,5
230,mp-1196651,5
231,mp-1197201,1
232,mp-1199430,3
233,mp-1203944,1
234,mp-1203999,4
235,mp-1204829,3
236,mp-12466,2
237,mp-12559,1
238,mp-12565,3
239,mp-13463,1
240,mp-1406,2
241,mp-1431,5
242,mp-1441,3
243,mp-14928,3
244,mp-1636,2
245,mp-16548,4
246,mp-17467,5
247,mp-17682,1
248,mp-1783,3
249,mp-1808,3
250,mp-1871,2
251,mp-19009,1
252,mp-19026,4
253,mp-19147,5
254,mp-19184,1
255,mp-19372,4
256,mp-19405,1
257,mp-19850,4
258,mp-20373,3
259,mp-20679,2
260,mp-20862,3
261,mp-20915,2
262,mp-21013,5
263,mp-21139,4
264,mp-21244,4
265,mp-21476,2
266,mp-21845,2
267,mp-22432,3
268,mp-22464,4
269,mp-22784,5
270,mp-22892,1
271,mp-2293,2
272,mp-23038,2
273,mp-23204,2
274,mp-23443,2
275,mp-24208,1
276,mp-246,3
277,mp-24722,2
278,mp-2649,4
279,mp-27234,5
280,mp-2749,3
281,mp-2773,1
282,mp-2780,3
283,mp-28250,5
284,mp-28283,4
285,mp-28628,2
286,mp-28770,2
287,mp-28916,2
288,mp-29076,5
289,mp-2930,1
290,mp-29423,3
291,mp-29770,3
292,mp-3021,2
293,mp-30551,5
294,mp-30675,3
295,mp-3332,5
296,mp-3530,3
297,mp-493,1
298,mp-505149,1
299,mp-505319,1
300,mp-535,2
301,mp-540997,4
302,mp-542449,3
303,mp-542488,1
304,mp-550468,4
305,mp-553971,1
306,mp-554040,1
307,mp-555,1
308,mp-559246,3
309,mp-559505,2
310,mp-560562,2
311,mp-567276,2
312,mp-568270,3
313,mp-568711,4
314,mp-569001,3
315,mp-569610,5
316,mp-569753,1
317,mp-569890,5
318,mp-570722,2
319,mp-574498,3
320,mp-578610,4
321,mp-600561,1
322,mp-607464,2
323,mp-613327,3
324,mp-628216,1
325,mp-632724,3
326,mp-636599,2
327,mp-638590,2
328,mp-639789,3
329,mp-643697,2
330,mp-644483,5
331,mp-649,2
332,mp-651582,2
333,mp-6543,3
334,mp-676040,2
335,mp-690725,4
336,mp-726718,3
337,mp-733794,5
338,mp-7443,4
339,mp-839,2
340,mp-922,4
341,mp-9945,2
342,mp-999540,1
343,mp-1194614,2
344,mp-1198787,1
345,mp-505732,5
346,mp-8923,3
347,mp-1102046,4
348,mp-1188153,3
349,mp-1188205,3
350,mp-1194302,1
351,mp-1195732,1
352,mp-1204380,1
353,mp-18645,1
354,mp-20641,1
355,mp-21653,3
356,mp-27273,4
357,mp-2794,4
358,mp-28137,2
359,mp-28301,3
360,mp-30411,2
361,mp-540894,1
362,mp-541510,3
363,mp-541814,2
364,mp-554079,3
365,mp-555493,2
366,mp-558889,1
367,mp-559964,1
368,mp-5603,1
369,mp-569961,4
370,mp-600233,3
371,mp-600428,2
372,mp-617352,4
373,mp-683891,4
374,mp-698413,1
375,mp-727952,3
376,mp-758104,2
377,mp-759189,3
378,mp-759393,5
379,Fe1Ni1_#123_0.json,5
380,Al1Mn1_#123_0.json,2
381,Al1Co3_#187_1A.json,1
382,Al1Co5_#189_1A.json,1
383,Al2Co4_#139_1A.json,1
384,Al2Co8_#87_1A.json,5
385,Al4Co12_#194_1A.json,3
386,Al6Co18_#194_1A.json,4
387,B1Co3_#123_1A.json,5
388,B3Co9_#166_1A.json,3
389,B8Co16_#194_1A.json,4
390,Be2Co6_#194_1A.json,3
391,Be2Co8_#87_1A.json,5
392,Be4Co12_#194_1A.json,5
393,Be6Co18_#194_1A.json,1
394,Co12Ga4_#194_1A.json,2
395,Co2Ga1_#164_1A.json,4
396,Co4Ga2_#129_1A.json,4
397,Co5Ga1_#189_1A.json,5
398,Co8Ga2_#87_1A.json,2
399,Co3Ge1_#123_1A.json,4
400,Co8Ge2_#87_1A.json,5
401,Co16Hf2_#139_1A.json,5
402,Co3Hf1_#123_1A.json,5
403,Co5Hf1_#191_1A.json,5
404,Co8Hf2_#139_1A.json,4
405,Co8Hf2_#87_1A.json,2
406,Co5Nb1_#189_1A.json,5
407,Co10Ni8_#139_1A.json,4
408,Co18Ni6_#194_1A.json,2
409,Co1Ni2_#164_1A.json,3
410,Co1Ni5_#123_1A.json,3
411,Co2Ni2_#164_1A.json,1
412,Co2Ni4_#139_1A.json,4
413,Co2Ni6_#123_1A.json,2
414,Co2Ni6_#139_1A.json,1
415,Co3Ni9_#166_1A.json,2
416,Co6Ni2_#194_1A.json,1
417,Co6Ni6_#166_1A.json,4
418,Co8Ni10_#139_1A.json,5
419,Co16P2_#139_1A.json,3
420,Co3P1_#187_1A.json,1
421,Co5P1_#189_1A.json,3
422,Co6P2_#139_1A.json,1
423,Co8P2_#87_1A.json,2
424,Co10Pt8_#139_1A.json,3
425,Co16Pt2_#139_1A.json,2
426,Co1Pt1_#123_1A.json,1
427,Co1Pt1_#187_1A.json,1
428,Co1Pt2_#164_1A.json,2
429,Co1Pt3_#187_1A.json,1
430,Co2Pt1_#164_1A.json,3
431,Co2Pt2_#129_1A.json,4
432,Co2Pt2_#164_1A.json,1
433,Co3Pt3_#166_1A.json,1
434,Co4Pt4_#141_1A.json,3
435,Co6Pt6_#166_1A.json,3
436,Co8Pt2_#87_1A.json,1
437,Co16Sc2_#139_1A.json,5
438,Co3Sc1_#123_1A.json,2
439,Co5Sc1_#191_1A.json,2
440,Co6Sc2_#123_1A.json,3
441,Co8Sc2_#139_1A.json,5
442,Co8Sc2_#87_1A.json,2
443,Co3Si1_#123_1A.json,4
444,Co3Si1_#187_1A.json,4
445,Co8Si2_#87_1A.json,1
446,Co9Si3_#166_1A.json,3
447,Co3Ta1_#123_1A.json,3
448,Co5Ta1_#189_1A.json,3
449,Co3Ti1_#123_1A.json,4
450,Co5Ti1_#189_1A.json,1
451,Co5Ti1_#191_1A.json,2
452,Co3V1_#123_1A.json,5
453,Co4V2_#139_1A.json,1
454,Co6V2_#123_1A.json,4
455,Co12Zr4_#194_1A.json,5
456,Co16Zr2_#139_1A.json,4
457,Co3Zr1_#123_1A.json,2
458,Co8Zr2_#139_1A.json,1
459,Co8Zr2_#87_1A.json,5
460,As3Fe6_#189_1A.json,4
461,Fe12P4_#194_1A.json,3
462,Fe16P2_#139_1A.json,1
463,Fe18P6_#194_1A.json,5
464,Fe24P8_#82_1A.json,1
465,Fe2P1_#164_1A.json,2
466,Fe3P1_#123_1A.json,5
467,Fe5P1_#123_1A.json,3
468,Fe5P1_#189_1A.json,2
469,Fe6P3_#189_1A.json,5
470,Fe8P2_#87_1A.json,4
471,Fe9P3_#166_1A.json,1
472,Fe10Pd8_#139_1A.json,5
473,Fe1Pd1_#123_1A.json,4
474,Fe2Pd2_#129_1A.json,5
475,Fe2Pd4_#139_1A.json,4
476,Fe3Pd4_#191_1A.json,5
477,Fe6Pd9_#166_1A.json,3
478,Fe8Pd6_#139_1A.json,1
479,Fe18Pt6_#194_1A.json,1
480,Fe1Pt2_#164_1A.json,1
481,Fe2Pt2_#123_1A.json,2
482,Fe2Pt2_#129_1A.json,1
483,Fe3Pt1_#123_1A.json,1
484,Fe3Pt4_#191_1A.json,5
485,Fe5Pt1_#123_1A.json,1
486,Fe8Pt10_#193_1A.json,2
487,Fe8Pt6_#139_1A.json,4
488,Fe9Pt3_#166_1A.json,5
489,Fe4Rh2_#123_1A.json,4
490,Fe4Rh2_#139_1A.json,2
491,Fe4Rh4_#141_1A.json,4
492,Fe5Rh1_#123_1A.json,5
493,Fe6Rh2_#123_1A.json,2
494,Fe6Rh4_#139_1A.json,1
495,Fe6Rh9_#166_1A.json,1
496,Fe8Rh2_#87_1A.json,4
497,Fe8Rh6_#139_1A.json,2
498,Fe2Sc2_#129_1A.json,4
499,Fe4Sc2_#139_1A.json,4
500,Fe8Sc4_#194_1A.json,2
501,Fe8Sc6_#139_1A.json,4
502,Fe12Si4_#139_1A.json,5
503,Fe12Si4_#194_1A.json,3
504,Fe16Si2_#139_1A.json,4
505,Fe18Si6_#194_1A.json,2
506,Fe2Si1_#164_1A.json,2
507,Fe4Si2_#139_1A.json,2
508,Fe5Si1_#123_1A.json,5
509,Fe6Si2_#194_1A.json,5
510,Fe6Si3_#189_1A.json,4
511,Fe8Si4_#140_1A.json,4
512,Fe8Si6_#139_1A.json,4
513,Fe9Si3_#166_1A.json,2
514,Fe12Ta4_#139_1A.json,2
515,Fe12Ta4_#194_1A.json,4
516,Fe16Ta8_#194_1A.json,3
517,Fe2Ta1_#164_1A.json,4
518,Fe6Ta2_#139_1A.json,2
519,Fe6Ta2_#194_1A.json,2
520,Fe8Ta2_#87_1A.json,5
521,Fe12Ti4_#139_1A.json,4
522,Fe12Ti4_#194_1A.json,2
523,Fe16Ti8_#141_1A.json,3
524,Fe18Ti6_#194_1A.json,5
525,Fe2Ti2_#129_1A.json,3
526,Fe4Ti2_#139_1A.json,2
527,Fe4Ti2_#194_1A.json,2
528,Fe6Ti2_#139_1A.json,3
529,Fe6Ti2_#194_1A.json,2
530,Fe8Ti6_#139_1A.json,1
531,Fe9Ti3_#166_1A.json,3
532,Fe20V10_#136_1A.json,1
533,Fe22V8_#136_1A.json,3
534,Fe26V4_#136_1A.json,1
535,Fe2Zr2_#129_1A.json,2
536,Fe4Zr2_#139_1A.json,3
537,Al1Fe1_#187_1A.json,4
538,Al2Fe2_#129_1A.json,2
539,Al2Fe2_#194_1A.json,4
540,Al2Fe4_#139_1A.json,5
541,Al6Fe8_#139_1A.json,3
542,Al6Fe9_#164_1A.json,3
543,Al8Fe10_#193_1A.json,1
544,Al8Fe16_#141_1A.json,1
545,Fe8Nb4_#96_1N.json,3
546,Fe10Ge2_#129_1N.json,5
547,Fe10Ge2_#164_1N.json,3
548,Fe12Ge6_#164_1N.json,2
549,Fe18Ge3_#166_1N.json,3
550,Fe18Ge6_#166_1N.json,5
551,Fe20Ge4_#139_1N.json,2
552,Fe20Ge4_#141_1N.json,1
553,Fe3Ge3_#191_1N.json,3
554,Fe6Ge2_#139_1N.json,1
555,Fe6Ge6_#107_1N.json,1
556,Fe4Nb2_#164_1N.json,5
557,Fe5Nb1_#164_1N.json,2
558,Fe8Nb2_#87_1N.json,3
559,Fe12Si2_#139_1N.json,4
560,Fe12Si3_#166_1N.json,2
561,Fe12Si4_#139_1N.json,2
562,Fe18Si3_#166_1N.json,5
563,Fe18Si6_#166_1N.json,5
564,Fe18Si9_#160_1N.json,5
565,Fe24Si6_#166_1N.json,5
566,Fe3Si1_#123_1N.json,3
567,Fe4Si2_#123_1N.json,1
568,Fe4Si2_#129_1N.json,4
569,Fe4Si2_#139_1N.json,4
570,Fe5Si1_#123_1N.json,2
571,Fe6Si2_#194_1N.json,3
572,Fe6Si3_#156_1N.json,1
573,Fe6Si3_#164_1N.json,3
574,Fe8Si2_#123_1N.json,4
575,Fe8Si2_#139_1N.json,2
576,Fe8Si8_#139_1N.json,1
577,Fe10Ta2_#129_1N.json,5
578,Fe10Ta2_#186_1N.json,3
579,Fe10Ta4_#186_1N.json,2
580,Fe12Ta2_#194_1N.json,4
581,Fe12Ta4_#136_1N.json,1
582,Fe12Ta4_#187_1N.json,1
583,Fe20Ta4_#139_1N.json,1
584,Fe20Ta4_#141_1N.json,1
585,Fe4Ta2_#164_1N.json,1
586,Fe5Ta1_#164_1N.json,5
587,Fe5Ta2_#156_1N.json,4
588,Fe5Ta2_#166_1N.json,2
589,Fe6Ta4_#139_1N.json,2
590,Fe6Ta4_#166_1N.json,1
591,Fe8Ta2_#166_1N.json,2
592,Fe8Ta2_#87_1N.json,5
593,Al1Co1_#123_409.json,2
594,Al1Co3C1_#123_518.json,3
595,Al1Fe1_#123_287.json,4
596,Al1Ni1_#123_566.json,1
597,Al1Ni3_#123_352.json,3
598,Al3Fe6W3_#2_339.json,2
599,Al4Cr4Cu8_#139_212.json,2
600,Al4Cr4Ni8_#139_167.json,5
601,Al4Fe8Mo4_#139_348.json,3
602,Al4Fe8Ni4_#139_90.json,2
603,Al4Fe8Ni4_#139_91.json,3
604,Al4Ni12_#139_476.json,4
605,Al4V4Ni8_#139_434.json,2
606,Al8Co4Ir4_#139_387.json,4
607,Al8Fe4Co4_#139_383.json,2
608,Al8Fe4Co4_#139_384.json,5
609,Al8Fe4Ir4_#139_376.json,2
610,Al8Fe4Ni4_#139_374.json,1
611,Al8Fe4Ni4_#139_375.json,1
612,Be3V3Co6_#2_310.json,5
613,Be4Co8Ge4_#139_390.json,1
614,Be4Co8Si4_#139_420.json,1
615,Be4Cr4Ru8_#139_437.json,3
616,Be4Fe8Si4_#139_290.json,4
617,Be8Ni4Rh4_#139_539.json,1
618,Ca4Mg4Ni16_#119_373.json,2
619,Ca6Ga8Ni8_#121_544.json,2
620,Ca8Co4W4_#119_357.json,2
621,Co3F9_#1_160.json,3
622,Co4N4_#119_486.json,3
623,Co4S8_#61_302.json,5
624,Co4Se8_#61_366.json,3
625,Co4Si4_#19_519.json,4
626,Co4Si8_#139_565.json,3
627,Co8As24_#71_554.json,5
628,Cr1Pt3_#123_241.json,2
629,Cr21Mo2C6_#1_443.json,2
630,Cr2N2_#59_29.json,2
631,Cr4C4_#139_114.json,2
632,Cr4Ga4Te4_#119_196.json,5
633,Cr4Ge4_#19_281.json,4
634,Cr4Ir4Ru4_#119_280.json,3
635,Cr4Si4Ru8_#139_263.json,4
636,Cr4Si4_#19_321.json,3
637,Cr6Ir2_#131_410.json,1
638,Cr6Rh2_#131_393.json,3
639,Cr6Si2_#131_495.json,5
640,Cu4Ni8Sb4_#139_463.json,5
641,Cu4Ni8Sn4_#139_567.json,5
642,Fe11Si5_#123_118.json,5
643,Fe12Ge4_#139_53.json,2
644,Fe13Ge3_#1_23.json,3
645,Fe1Ir3_#123_224.json,5
646,Fe1Rh1_#123_13.json,5
647,Fe2Se2_#129_174.json,5
648,Fe3F9_#1_104.json,5
649,Fe3Ni1N1_#123_33.json,2
650,Fe3Pd1_#123_5.json,2
651,Fe3Pt1N1_#123_28.json,1
652,Fe4C1_#111_20.json,4
653,Fe4Co8Si4_#139_49.json,4
654,Fe4Cu8S8_#1_244.json,2
655,Fe4Cu8Sn4_#139_236.json,4
656,Fe4Ge4_#19_252.json,4
657,Fe4N1_#123_2.json,4
658,Fe4N4_#119_479.json,5
659,Fe4P1_#47_35.json,5
660,Fe4Pb4W8_#119_288.json,3
661,Fe4Si4Tc8_#139_239.json,3
662,Fe8Co4Ge4_#139_57.json,4
663,Fe8Co4Ge4_#139_58.json,5
664,Ga1Co1_#123_385.json,3
665,Ga1Fe3_#123_27.json,3
666,Ga1Ni3_#123_343.json,3
667,Ga4Fe12_#139_38.json,4
668,Ga4Fe4Rh8_#139_124.json,3
669,Ga4Fe8Co4_#139_43.json,2
670,Ga4Fe8Co4_#139_44.json,1
671,Ga4Fe8Ni4_#139_81.json,4
672,Ga4Fe8Ni4_#139_82.json,2
673,Ga6Co3Ru3_#2_581.json,3
674,Hf1Co1_#123_334.json,1
675,Hf4Al4Co8_#139_335.json,4
676,Hf4Al4Ni8_#139_502.json,3
677,Hf4Fe8Sn4_#139_481.json,2
678,Hf4Ga4Co8_#139_333.json,2
679,Hf4Ga4Ni8_#139_480.json,1
680,Hf4In4Co8_#139_341.json,2
681,Hf4Ni4Sn4_#119_604.json,5
682,Hf4Si4Ni4_#119_545.json,3
683,Hf8Co4Ir4_#139_344.json,5
684,Hf8Co4Tc4_#139_392.json,4
685,Hf8Cr16_#141_511.json,4
686,Hf8Fe4Ir4_#139_354.json,2
687,Hf8Fe4Os4_#139_416.json,5
688,Hf8Mn4Ir4_#139_464.json,4
689,Hf8Ni16_#141_570.json,4
690,In4Fe4As4_#119_251.json,4
691,In4Fe4Co8_#139_86.json,3
692,In4Fe4Co8_#139_87.json,2
693,K4Mn4Ru4_#119_218.json,1
694,Li4Ga4Ni8_#139_398.json,1
695,Li4Ni8Sn4_#139_488.json,3
696,Li4Si4Ni8_#139_458.json,4
697,Mg1Ni3C1_#123_407.json,4
698,Mg4Ga4Ni8_#139_520.json,5
699,Mg4Ni8Sb4_#139_538.json,4
700,Mg4Ni8Sn4_#139_537.json,2
701,Mn12Ge4Ir4_#19_30.json,1
702,Mn12Si4Ir4_#19_75.json,5
703,Mn1Au1_#123_46.json,4
704,Mn1Pd1_#123_22.json,1
705,Mn1Pt3_#123_159.json,1
706,Mn1V1_#123_446.json,2
707,Mn3Al1C1_#123_140.json,2
708,Mn3Cu1N1_#123_41.json,4
709,Mn3Ga1C1_#123_125.json,5
710,Mn3Ge1_#123_64.json,1
711,Mn3In1C1_#123_96.json,3
712,Mn3Ir1N1_#123_15.json,2
713,Mn3Ni1N1_#123_8.json,4
714,Mn3Ni1N1_#123_9.json,3
715,Mn3Pd1N1_#123_10.json,1
716,Mn3Rh1_#123_260.json,3
717,Mn3S3_#1_56.json,4
718,Mn3Sb1_#123_65.json,3
719,Mn3Zn1C1_#123_48.json,5
720,Mn3Zn1N1_#123_108.json,1
721,Mn4Al4Ni8_#139_102.json,1
722,Mn4Al4Pt8_#139_150.json,2
723,Mn4Al4Ru8_#139_258.json,3
724,Mn4Al4Tc4_#119_123.json,3
725,Mn4As4Pd8_#139_168.json,5
726,Mn4Cr4Re4_#119_142.json,4
727,Mn4Cr4Re4_#119_143.json,1
728,Mn4Cu4Sb4_#119_117.json,4
729,Mn4Cu8Sb4_#139_188.json,5
730,Mn4Cu8Sn4_#139_182.json,1
731,Mn4Fe8Si4_#139_162.json,4
732,Mn4Ga4Pt8_#139_161.json,4
733,Mn4Ge4Pd8_#139_158.json,1
734,Mn4Ge4Ru8_#139_217.json,4
735,Mn4In4Ni8_#139_121.json,4
736,Mn4In4Ni8_#139_122.json,1
737,Mn4In4Pd8_#139_183.json,3
738,Mn4Nb4As4_#119_265.json,4
739,Mn4Ni4Sb4_#119_189.json,4
740,Mn4Ni4Sb4_#119_190.json,4
741,Mn4Ni8Ge4_#139_109.json,1
742,Mn4Ni8Ge4_#139_110.json,5
743,Mn4Ni8Sn4_#139_135.json,1
744,Mn4Ni8Sn4_#139_136.json,2
745,Mn4S8_#61_103.json,1
746,Mn4Sb4Au4_#119_163.json,2
747,Mn4Sb4Pd8_#139_184.json,5
748,Mn4Sb4Pt4_#119_173.json,5
749,Mn4Sb4Pt4_#119_176.json,5
750,Mn4Si4Ru8_#139_206.json,4
751,Mn4Sn4Pd8_#139_187.json,5
752,Mn4Sn4Pt4_#119_198.json,1
753,Mn4Sn4Ru8_#139_231.json,4
754,Mn4Te4Pd4_#119_120.json,3
755,Mn4Te4_#139_89.json,1
756,Mn4Te8_#61_246.json,1
757,Mn4V4Ni4_#119_276.json,1
758,Mn4V8Os4_#139_430.json,4
759,Mn4Zn4Ir8_#139_214.json,2
760,Mn4Zn4Rh8_#139_191.json,4
761,Mn6Ga2N2_#38_209.json,4
762,Mn8Al4Re4_#139_433.json,3
763,Mn8Al4W4_#139_327.json,5
764,Nb4Co4Sb4_#119_415.json,2
765,Nb4Co8Sn4_#139_289.json,1
766,Nb4Ga4Ni8_#139_508.json,5
767,Nb4Zn4Co8_#139_328.json,2
768,Nb8Cr16_#141_418.json,4
769,Ni12Sn4_#139_500.json,5
770,Ni2Hg8_#139_595.json,4
771,Ni3Ge1C1_#123_499.json,1
772,Ni3Ge1_#123_428.json,2
773,Ni3Pt1_#123_242.json,4
774,Ni4As4S4_#19_477.json,1
775,Ni4N4_#119_425.json,5
776,Ni4P4S4_#19_422.json,5
777,Ni4P8_#61_590.json,2
778,Ni4S8_#1_402.json,3
779,Ni4Se8_#61_506.json,5
780,Ni4Sn4Rh8_#139_346.json,1
781,Ni8P24_#71_553.json,2
782,Sc1Ni1_#123_470.json,2
783,Sc4Al4Ni8_#139_521.json,4
784,Sc4Co8Sn4_#139_340.json,4
785,Sc4Ni16Sn4_#119_578.json,1
786,Sc4Ni4Bi4_#119_542.json,2
787,Sc4Ni4Sb4_#119_583.json,1
788,Sc8Co16_#141_245.json,2
789,Sc8Co4Ir4_#139_382.json,4
790,Sc8Co4Os4_#139_427.json,4
791,Sc8Co4Ru4_#139_529.json,5
792,Sc8Ni16_#141_514.json,1
793,Sc8Ni4Ir4_#139_550.json,3
794,Si1Ni3_#123_421.json,5
795,Sr4Cr4Pd8_#119_216.json,5
796,Sr4Cr4Rh8_#139_238.json,3
797,Sr4Cr4W8_#139_370.json,5
798,Sr4Mn8Si4_#119_83.json,3
799,Sr4Zr4Co4_#119_448.json,3
800,Ta4Co4Sn8_#119_311.json,5
801,Ta4Ga4Fe8_#139_552.json,4
802,Ta4Mn4As4_#119_268.json,3
803,Ta4Mn8Al4_#139_271.json,3
804,Ta4Ti4Mn8_#139_367.json,5
805,Ta4Zn4Co8_#139_332.json,3
806,Ta8Co16_#141_325.json,2
807,Ta8Cr16_#141_460.json,1
808,Ti16Co8_#141_303.json,1
809,Ti1Co1_#123_301.json,1
810,Ti1Fe1_#123_440.json,3
811,Ti1Mn2Ga1_#1_349.json,3
812,Ti1Ni1_#123_450.json,2
813,Ti3Fe6Si3_#2_528.json,3
814,Ti4Al4Ni8_#139_535.json,4
815,Ti4Be4Co8_#139_496.json,5
816,Ti4Co4As4_#119_350.json,2
817,Ti4Co4Sb4_#119_548.json,1
818,Ti4Co4Sn4_#119_359.json,1
819,Ti4Cr4Ag4_#119_205.json,1
820,Ti4Fe4Sb4_#119_338.json,3
821,Ti4Fe8Ge4_#139_483.json,5
822,Ti4Fe8Sn4_#139_503.json,4
823,Ti4Ga4Co8_#139_320.json,4
824,Ti4Ga4Fe8_#139_336.json,3
825,Ti4Ga4Ni8_#139_468.json,4
826,Ti4In4Ni8_#139_484.json,4
827,Ti4Mn4Co8_#139_85.json,4
828,Ti4Mn8Al4_#139_215.json,4
829,Ti4Ni4Sn4_#119_531.json,1
830,Ti8Co4Ir4_#139_300.json,4
831,Ti8Cr16_#141_577.json,3
832,Ti8Mn4Be4_#139_471.json,2
833,Ti8Mn4Co4_#139_397.json,4
834,Ti8Mn4Ir4_#139_515.json,1
835,Ti8Mn4Ru4_#139_369.json,5
836,Ti8Re4Ni4_#139_474.json,2
837,Ti8Tc4Ni4_#139_487.json,4
838,Tl4Co4As8_#139_568.json,1
839,Tl4Co4Mo8_#119_372.json,3
840,Tl4Co4W4_#119_435.json,5
841,V1Fe1_#123_282.json,3
842,V4Co4Sb4_#119_316.json,3
843,V4Fe4Sb4_#119_557.json,3
844,V4Fe4Se4_#119_305.json,3
845,V4Fe8Si4_#139_331.json,2
846,V4Ga4Ni8_#139_462.json,3
847,V4Ni4Sb4_#119_261.json,3
848,V4Ni8Sn4_#139_361.json,4
849,V6Co2_#131_449.json,2
850,V6Ni2_#131_532.json,4
851,V8Cr4Fe4_#139_461.json,4
852,V8Cr4Fe4_#139_497.json,4
853,V8Cr4Os4_#139_424.json,4
854,V8Cr4Ru4_#139_469.json,5
855,V8Cr4Tc4_#139_456.json,2
856,Zn1Fe3C1_#123_126.json,1
857,Zn1Ni3C1_#123_408.json,1
858,Zn4Fe4Pb4_#119_240.json,3
859,Zn4Ni4Sb4_#119_530.json,2
