entry_id,source,formula,space_group_number,K_eff_MJ_per_m3,mu0_Ms_T,easy_axis_label,in_classification_set,in_regression_set,cif_file
mp-567703,MP structure; K_eff from this work (DFT),Fe3Ni1N1,221,0.0,1.7377,,0,1,structures/mp-567703.cif
mp-16334,MP structure; K_eff from this work (DFT),Fe3Pd1N1,221,0.0,1.8007,,0,1,structures/mp-16334.cif
mp-1077378,MP structure; K_eff from this work (DFT),Cs2Mn2P2,129,0.237902864,0.1078,1,1,1,structures/mp-1077378.cif
mp-12105,MP structure; K_eff from this work (DFT),Rb2O4,139,0.584152153,0.2019,1,1,1,structures/mp-12105.cif
mp-12743,MP structure; K_eff from this work (DFT),Cr1Te4Au1,10,0.563736471,0.2036,,0,1,structures/mp-12743.cif
mp-557523,MP structure; K_eff from this work (DFT),V2S4,194,0.000795868,0.0567,1,1,1,structures/mp-557523.cif
mp-774,MP structure; K_eff from this work (DFT),Ca1Ni5,191,0.984363661,0.3494,1,1,1,structures/mp-774.cif
mp-1866,MP structure; K_eff from this work (DFT),K2O4,139,0.516894586,0.2369,1,1,1,structures/mp-1866.cif
mp-20426,MP structure; K_eff from this work (DFT),Fe4As2,129,0.235977566,0.489,1,1,1,structures/mp-20426.cif
mp-20664,MP structure; K_eff from this work (DFT),Mn4Sb2,129,-0.254935902,0.7979,0,1,0,structures/mp-20664.cif
mp-22498,MP structure; K_eff from this work (DFT),Cr2Sb4,58,1.793913082,0.2487,,0,1,structures/mp-22498.cif
mp-1901,MP structure; K_eff from this work (DFT),Na2O4,58,0.023026304,0.1485,,0,1,structures/mp-1901.cif
mp-20714,MP structure; K_eff from this work (DFT),Fe2Sb4,58,0.29295053,0.1161,,0,1,structures/mp-20714.cif
mp-21471,MP structure; K_eff from this work (DFT),Li2Fe2As2,129,-0.020055344,0.3452,0,1,0,structures/mp-21471.cif
mp-510536,MP structure; K_eff from this work (DFT),Mo2O4,136,1.3546906,0.1701,1,1,1,structures/mp-510536.cif
mp-505803,MP structure; K_eff from this work (DFT),Mn2Fe2As2,129,-0.626557783,0.5771,0,1,0,structures/mp-505803.cif
mp-1005,MP structure; K_eff from this work (DFT),Fe4P4,62,0.328827596,0.0617,,0,1,structures/mp-1005.cif
mp-8365,MP structure; K_eff from this work (DFT),Mn4B4,62,0.569098299,0.3652,,0,1,structures/mp-8365.cif
mp-1205355,MP structure; K_eff from this work (DFT),Mo2Br6,193,-3.055818651,0.0786,0,1,0,structures/mp-1205355.cif
mp-19284,MP structure; K_eff from this work (DFT),Ni2Ag2O4,194,-0.813898309,0.1214,0,1,0,structures/mp-19284.cif
mp-2567,MP structure; K_eff from this work (DFT),V6Si2,223,0.0,0.0896,,0,1,structures/mp-2567.cif
mp-873,MP structure; K_eff from this work (DFT),V2Pd6,139,0.085255515,0.2509,1,1,1,structures/mp-873.cif
mp-1078584,MP structure; K_eff from this work (DFT),Mn6Ga2,194,-2.175046487,0.4721,0,1,0,structures/mp-1078584.cif
mp-13154,MP structure; K_eff from this work (DFT),Fe6C2,182,0.041324153,1.0007,1,1,1,structures/mp-13154.cif
mp-15650,MP structure; K_eff from this work (DFT),As4Ru4,62,0.0,0.0281,,0,1,structures/mp-15650.cif
mp-8994,MP structure; K_eff from this work (DFT),Rb2Nb1F6,164,-2.155760953,0.0773,0,1,0,structures/mp-8994.cif
mp-1079966,MP structure; K_eff from this work (DFT),Cr3Ni3P3,189,0.492977542,0.3311,1,1,1,structures/mp-1079966.cif
mp-248,MP structure; K_eff from this work (DFT),Fe6N3,162,-1.427642763,0.4135,0,1,0,structures/mp-248.cif
mp-10049,MP structure; K_eff from this work (DFT),Mn3As3Ru3,189,-0.712256722,0.349,0,1,0,structures/mp-10049.cif
mp-10445,MP structure; K_eff from this work (DFT),Sc6Fe1Te2,189,0.287486976,0.1204,1,1,1,structures/mp-10445.cif
mp-10446,MP structure; K_eff from this work (DFT),Sc6Ni1Te2,189,0.0,0.0553,1,1,1,structures/mp-10446.cif
mp-1079542,MP structure; K_eff from this work (DFT),Co3Ni3As3,189,-0.073015251,0.0094,0,1,0,structures/mp-1079542.cif
mp-778,MP structure; K_eff from this work (DFT),Fe6P3,189,3.814617531,0.3684,1,1,1,structures/mp-778.cif
mp-1078253,MP structure; K_eff from this work (DFT),Mn2B8,58,0.116156938,0.1106,,0,1,structures/mp-1078253.cif
mp-1010,MP structure; K_eff from this work (DFT),Mn2B8,71,0.006526176,0.2049,,0,1,structures/mp-1010.cif
mp-7892,MP structure; K_eff from this work (DFT),Mn4Al2B4,65,0.098505553,0.2474,,0,1,structures/mp-7892.cif
mp-11181,MP structure; K_eff from this work (DFT),Cs2Mn4P4,139,0.784431105,0.6746,1,1,1,structures/mp-11181.cif
mp-20683,MP structure; K_eff from this work (DFT),Cu6Se4,113,0.00269867,0.0397,1,1,1,structures/mp-20683.cif
mp-22962,MP structure; K_eff from this work (DFT),Cs2Ti2Br6,194,-0.317740238,0.0708,0,1,0,structures/mp-22962.cif
mp-28282,MP structure; K_eff from this work (DFT),Rb2Ti2Cl6,194,0.219343686,0.0527,1,1,1,structures/mp-28282.cif
mp-1103264,MP structure; K_eff from this work (DFT),Zr4V8,194,0.0,0.0093,1,1,1,structures/mp-1103264.cif
mp-20334,MP structure; K_eff from this work (DFT),Co2Cu4O6,59,1.445800371,0.2609,,0,1,structures/mp-20334.cif
mp-2666,MP structure; K_eff from this work (DFT),Cr4Sb8,140,-0.140547501,0.1922,0,1,0,structures/mp-2666.cif
mp-21325,MP structure; K_eff from this work (DFT),K4O8,15,0.059211266,0.102,,0,1,structures/mp-21325.cif
mp-30423,MP structure; K_eff from this work (DFT),V4Au8,63,0.503407612,0.2129,,0,1,structures/mp-30423.cif
mp-614,MP structure; K_eff from this work (DFT),Na4O8,205,0.001899567,0.0692,,0,1,structures/mp-614.cif
mp-1095679,MP structure; K_eff from this work (DFT),Cu4Br2O6,11,3.759351903,0.0645,,0,1,structures/mp-1095679.cif
mp-1102616,MP structure; K_eff from this work (DFT),Co8Ge4,62,0.247491373,0.1419,,0,1,structures/mp-1102616.cif
mp-19069,MP structure; K_eff from this work (DFT),Ni3Ag3O6,166,-0.690870205,0.2423,0,1,0,structures/mp-19069.cif
mp-11270,MP structure; K_eff from this work (DFT),Mn4Be8,194,-0.421683266,0.1559,0,1,0,structures/mp-11270.cif
mp-21893,MP structure; K_eff from this work (DFT),Mn4Te8,205,0.0,0.1692,,0,1,structures/mp-21893.cif
mp-2851,MP structure; K_eff from this work (DFT),V4Sb8,140,0.0,0.0613,1,1,1,structures/mp-2851.cif
mp-9630,MP structure; K_eff from this work (DFT),Tl3Cr3S6,160,-0.062331331,0.4217,0,1,0,structures/mp-9630.cif
mp-1025195,MP structure; K_eff from this work (DFT),Nb4V2Se8,12,0.010893241,0.1999,,0,1,structures/mp-1025195.cif
mp-568349,MP structure; K_eff from this work (DFT),Cr2Fe4Se8,12,0.878353192,0.6836,,0,1,structures/mp-568349.cif
mp-964,MP structure; K_eff from this work (DFT),Cr6S8,12,0.104564611,0.4816,,0,1,structures/mp-964.cif
mp-1025291,MP structure; K_eff from this work (DFT),Ti2Nb4Se8,12,0.0,0.0879,,0,1,structures/mp-1025291.cif
mp-30410,MP structure; K_eff from this work (DFT),Mn4Au10,12,0.305857986,0.8696,,0,1,structures/mp-30410.cif
mp-28375,MP structure; K_eff from this work (DFT),Ta2Ag1F12,2,0.036110714,0.0538,,0,1,structures/mp-28375.cif
mp-14653,MP structure; K_eff from this work (DFT),Ag1Sb2F12,2,0.125223163,0.0553,,0,1,structures/mp-14653.cif
mp-1025510,MP structure; K_eff from this work (DFT),Fe2Cu4Si2Se8,121,-0.951846774,0.2706,0,1,0,structures/mp-1025510.cif
mp-23294,MP structure; K_eff from this work (DFT),Ru4Br12,59,3.268618369,0.0113,,0,1,structures/mp-23294.cif
mp-10894,MP structure; K_eff from this work (DFT),Mn4Al4Rh8,225,0.0,0.9348,,0,1,structures/mp-10894.cif
mp-1188188,MP structure; K_eff from this work (DFT),Mn12C4,62,0.087121334,0.0411,,0,1,structures/mp-1188188.cif
mp-1806,MP structure; K_eff from this work (DFT),Rb4O12,14,0.00155958,0.0379,,0,1,structures/mp-1806.cif
mp-21469,MP structure; K_eff from this work (DFT),V4Co8Sn4,225,0.0,0.6408,,0,1,structures/mp-21469.cif
mp-1189507,MP structure; K_eff from this work (DFT),Cs4O12,14,0.009967085,0.033,,0,1,structures/mp-1189507.cif
mp-29973,MP structure; K_eff from this work (DFT),Sr8N8,12,0.001827272,0.0325,,0,1,structures/mp-29973.cif
mp-31328,MP structure; K_eff from this work (DFT),Mn4In4Pd8,225,0.0,0.8054,,0,1,structures/mp-31328.cif
mp-571471,MP structure; K_eff from this work (DFT),Nb4Co4Te8,14,0.02550207,0.0373,,0,1,structures/mp-571471.cif
mp-22731,MP structure; K_eff from this work (DFT),Mn4In4Ni8,225,0.0,0.8687,,0,1,structures/mp-22731.cif
mp-1188223,MP structure; K_eff from this work (DFT),Cu4N2O12,11,0.008779385,0.0492,,0,1,structures/mp-1188223.cif
mp-607953,MP structure; K_eff from this work (DFT),Fe2Se2Br14,7,0.087312084,0.0912,,0,1,structures/mp-607953.cif
mp-1189328,MP structure; K_eff from this work (DFT),Ti9Ni9,143,0.006516808,0.0133,1,1,1,structures/mp-1189328.cif
mp-28235,MP structure; K_eff from this work (DFT),Tl4Cu8O8,74,0.347762683,0.0777,,0,1,structures/mp-28235.cif
mp-28573,MP structure; K_eff from this work (DFT),W4I12O4,136,0.0,0.0154,1,1,1,structures/mp-28573.cif
mp-1079754,MP structure; K_eff from this work (DFT),Ni4P4Se12,12,0.36068422,0.0618,,0,1,structures/mp-1079754.cif
mp-1106367,MP structure; K_eff from this work (DFT),Hg4S16,57,0.0,0.0,,0,1,structures/mp-1106367.cif
mp-29804,MP structure; K_eff from this work (DFT),Cr12Ge4C4,63,0.163016527,0.1446,,0,1,structures/mp-29804.cif
mp-772040,MP structure; K_eff from this work (DFT),Sb2H2O4F12,2,0.002625999,0.0765,,0,1,structures/mp-772040.cif
mp-1105852,MP structure; K_eff from this work (DFT),Sc12As8,83,-0.007724322,0.0285,0,1,0,structures/mp-1105852.cif
mp-1106094,MP structure; K_eff from this work (DFT),K4C4O12,14,0.0,0.0333,,0,1,structures/mp-1106094.cif
mp-12464,MP structure; K_eff from this work (DFT),Co4Pd8Se8,72,0.073973669,0.0649,,0,1,structures/mp-12464.cif
mp-18257,MP structure; K_eff from this work (DFT),Fe14C6,186,0.17644216,0.7425,1,1,1,structures/mp-18257.cif
mp-556208,MP structure; K_eff from this work (DFT),W4Cl12O4,136,-0.883183243,0.0203,0,1,0,structures/mp-556208.cif
mp-10922,MP structure; K_eff from this work (DFT),Mg2Co12P7,174,0.039745331,0.0463,1,1,1,structures/mp-10922.cif
mp-1078086,MP structure; K_eff from this work (DFT),In6Ni9Se6,166,0.0,0.0251,1,1,1,structures/mp-1078086.cif
mp-10923,MP structure; K_eff from this work (DFT),Ca2Co12P7,174,0.095388376,0.1384,1,1,1,structures/mp-10923.cif
mp-1077840,MP structure; K_eff from this work (DFT),Mn3Bi6Te12,166,0.329196548,0.2594,1,1,1,structures/mp-1077840.cif
mp-1191025,MP structure; K_eff from this work (DFT),Zr6Mn4Ga12,59,0.42508631,0.1211,,0,1,structures/mp-1191025.cif
mp-18246,MP structure; K_eff from this work (DFT),K12Mn2Te8,186,0.020419317,0.0663,1,1,1,structures/mp-18246.cif
mp-1182576,MP structure; K_eff from this work (DFT),Ba2O20,124,-0.238430804,0.1338,0,1,0,structures/mp-1182576.cif
mp-553980,MP structure; K_eff from this work (DFT),Cs4Ni2P4S12,14,0.002646962,0.0386,,0,1,structures/mp-553980.cif
mp-614724,MP structure; K_eff from this work (DFT),Cs6Cr2F14,127,0.881958307,0.0504,1,1,1,structures/mp-614724.cif
mp-1191175,MP structure; K_eff from this work (DFT),K4Fe2P4Se12,14,0.061754495,0.0738,,0,1,structures/mp-1191175.cif
mp-562412,MP structure; K_eff from this work (DFT),Ag6F16,14,0.17346974,0.0396,,0,1,structures/mp-562412.cif
mp-20382,MP structure; K_eff from this work (DFT),Ti12Sn10,194,-0.018634623,0.0433,0,1,0,structures/mp-20382.cif
mp-29715,MP structure; K_eff from this work (DFT),Te2W2Br18,11,2.62064364,0.0134,,0,1,structures/mp-29715.cif
mp-863265,MP structure; K_eff from this work (DFT),K4Mn2P4Se12,14,0.005522047,0.0914,,0,1,structures/mp-863265.cif
mp-567148,MP structure; K_eff from this work (DFT),Cr1B6H16,2,0.01532225,0.2233,,0,1,structures/mp-567148.cif
mp-1072398,MP structure; K_eff from this work (DFT),Mn4Cu16Sn4,216,0.0,0.6475,,0,1,structures/mp-1072398.cif
mp-16916,MP structure; K_eff from this work (DFT),Ca12Fe2N10,193,0.378190833,0.0854,1,1,1,structures/mp-16916.cif
mp-18817,MP structure; K_eff from this work (DFT),Ni4Se4O16,63,0.08859368,0.168,,0,1,structures/mp-18817.cif
mp-556360,MP structure; K_eff from this work (DFT),Zr3Co3F18,148,0.004075351,0.278,1,1,1,structures/mp-556360.cif
mp-557055,MP structure; K_eff from this work (DFT),Cu2Cl2F20,14,0.455283531,0.0383,,0,1,structures/mp-557055.cif
mp-727926,MP structure; K_eff from this work (DFT),Hg4Br4O16,57,0.840222272,0.0282,,0,1,structures/mp-727926.cif
mp-7660,MP structure; K_eff from this work (DFT),Ba3Rh3F18,166,32.47365459,0.1005,1,1,1,structures/mp-7660.cif
mp-1025010,MP structure; K_eff from this work (DFT),Be20Fe4,216,0.0,0.4177,,0,1,structures/mp-1025010.cif
mp-27734,MP structure; K_eff from this work (DFT),Cr6Br18,148,0.236584158,0.0524,1,1,1,structures/mp-27734.cif
mp-28825,MP structure; K_eff from this work (DFT),K12Co4O8,62,0.800422489,0.0455,,0,1,structures/mp-28825.cif
mp-30807,MP structure; K_eff from this work (DFT),Zr4Ni16Sn4,216,0.0,0.033,,0,1,structures/mp-30807.cif
mp-562468,MP structure; K_eff from this work (DFT),Ti6F18,167,-0.065504138,0.0968,0,1,0,structures/mp-562468.cif
mp-1191858,MP structure; K_eff from this work (DFT),Tl8Cu2Te2O12,2,0.01067089,0.0266,,0,1,structures/mp-1191858.cif
mp-568430,MP structure; K_eff from this work (DFT),Ba8Rh16,227,0.0,0.0615,,0,1,structures/mp-568430.cif
mp-1192084,MP structure; K_eff from this work (DFT),Hf8Zn16,194,0.165017445,0.0312,1,1,1,structures/mp-1192084.cif
mp-20854,MP structure; K_eff from this work (DFT),Ni3Pb3F18,148,-0.112114908,0.2207,0,1,0,structures/mp-20854.cif
mp-554332,MP structure; K_eff from this work (DFT),Sr3Cr3F18,166,2.64526228,0.2345,1,1,1,structures/mp-554332.cif
mp-1194415,MP structure; K_eff from this work (DFT),K6Mn4O16,11,0.014784643,0.0269,,0,1,structures/mp-1194415.cif
mp-557946,MP structure; K_eff from this work (DFT),Cu6Se4Cl4O12,2,0.126657251,0.0244,,0,1,structures/mp-557946.cif
mp-648179,MP structure; K_eff from this work (DFT),Cs3Mn3V4O16,2,0.119727648,0.3078,,0,1,structures/mp-648179.cif
mp-1104174,MP structure; K_eff from this work (DFT),K8Ni6O12,12,0.448375763,0.1104,,0,1,structures/mp-1104174.cif
mp-1179128,MP structure; K_eff from this work (DFT),Sr4O24,15,0.003880761,0.2262,,0,1,structures/mp-1179128.cif
mp-28186,MP structure; K_eff from this work (DFT),Na8Mn4O16,186,0.051217435,0.0574,1,1,1,structures/mp-28186.cif
mp-505300,MP structure; K_eff from this work (DFT),Cs8Mn4O16,62,0.043610433,0.0197,,0,1,structures/mp-505300.cif
mp-568614,MP structure; K_eff from this work (DFT),Cs6W4Cl18,194,-16.76046688,0.0518,0,1,0,structures/mp-568614.cif
mp-1722,MP structure; K_eff from this work (DFT),Zn26Fe2,12,0.071602376,0.0809,,0,1,structures/mp-1722.cif
mp-3407,MP structure; K_eff from this work (DFT),Tl2Cr10Se16,12,0.075606378,0.5752,,0,1,structures/mp-3407.cif
mp-571457,MP structure; K_eff from this work (DFT),Ti16Ni4Bi8,140,0.0,0.0657,1,1,1,structures/mp-571457.cif
mp-653120,MP structure; K_eff from this work (DFT),Mn4Ga8Te16,62,0.315134496,0.0688,,0,1,structures/mp-653120.cif
mp-972048,MP structure; K_eff from this work (DFT),Zn24Mo4,225,0.0,0.0221,,0,1,structures/mp-972048.cif
mp-1104676,MP structure; K_eff from this work (DFT),Os2Se4Br24,12,11.74285356,0.0467,,0,1,structures/mp-1104676.cif
mp-19097,MP structure; K_eff from this work (DFT),Fe6B6O18,167,0.258978884,0.6463,1,1,1,structures/mp-19097.cif
mp-672346,MP structure; K_eff from this work (DFT),Rb6V6I18,185,0.289722745,0.0292,1,1,1,structures/mp-672346.cif
mp-683684,MP structure; K_eff from this work (DFT),Cl64Mo16O16Se32,14,0.289722745,0.0033,,0,1,structures/mp-683684.cif
mp-696673,MP structure; K_eff from this work (DFT),Cr14Se16,12,0.070605356,1.0114,,0,1,structures/mp-696673.cif
mp-8695,MP structure; K_eff from this work (DFT),Mn6P6Se18,148,-1.77573651,0.238,0,1,0,structures/mp-8695.cif
mp-505660,MP structure; K_eff from this work (DFT),Cs4K2Fe2C12N12,14,0.180518178,0.0162,,0,1,structures/mp-505660.cif
mp-569547,MP structure; K_eff from this work (DFT),Sr12Fe2C4N14,18,0.631829279,0.0611,,0,1,structures/mp-569547.cif
mp-22640,MP structure; K_eff from this work (DFT),Ca4Fe16As12,62,0.22779537,0.1358,,0,1,structures/mp-22640.cif
mp-557938,MP structure; K_eff from this work (DFT),Hf4V4F24,225,0.0,0.263,,0,1,structures/mp-557938.cif
mp-28138,MP structure; K_eff from this work (DFT),Ni3Cl6O24,148,-0.069737933,0.0415,0,1,0,structures/mp-28138.cif
mp-561139,MP structure; K_eff from this work (DFT),Rb16Fe4O14,14,0.08773168,0.1588,,0,1,structures/mp-561139.cif
mp-15868,MP structure; K_eff from this work (DFT),Co8Sn2Sb24,204,0.0,0.0057,,0,1,structures/mp-15868.cif
mp-1194721,MP structure; K_eff from this work (DFT),Sc6Mn6Al14Si10,194,-0.104747625,0.0111,0,1,0,structures/mp-1194721.cif
mp-1198610,MP structure; K_eff from this work (DFT),Nb16Fe4Te16,55,0.187925784,0.0031,,0,1,structures/mp-1198610.cif
mp-21524,MP structure; K_eff from this work (DFT),Sr12Ni12N12,62,0.060599413,0.0053,,0,1,structures/mp-21524.cif
mp-27565,MP structure; K_eff from this work (DFT),K12Ni8O16,63,2.448077185,0.0389,,0,1,structures/mp-27565.cif
mp-504722,MP structure; K_eff from this work (DFT),Ni4N8O24,205,0.0,0.0579,,0,1,structures/mp-504722.cif
mp-649334,MP structure; K_eff from this work (DFT),Fe4S4Cl28,14,0.001461988,0.0544,,0,1,structures/mp-649334.cif
mp-510306,MP structure; K_eff from this work (DFT),Sc8Cr4B24,55,0.014318112,0.0507,,0,1,structures/mp-510306.cif
mp-557552,MP structure; K_eff from this work (DFT),Sr8Cu4F24,64,0.00286183,0.0435,,0,1,structures/mp-557552.cif
mp-558345,MP structure; K_eff from this work (DFT),Zn2Fe4Se8O24,7,0.037144674,0.2086,,0,1,structures/mp-558345.cif
mp-1202947,MP structure; K_eff from this work (DFT),Fe4Re10As24,58,0.088187796,0.0256,,0,1,structures/mp-1202947.cif
mp-7250,MP structure; K_eff from this work (DFT),Nb18Co21,166,1.326980398,0.0722,1,1,1,structures/mp-7250.cif
mp-560959,MP structure; K_eff from this work (DFT),K4Tl8Mo4F24,225,0.0,0.1758,,0,1,structures/mp-560959.cif
mp-2571,MP structure; K_eff from this work (DFT),Rb16O24,220,0.0,0.0282,,0,1,structures/mp-2571.cif
mp-542135,MP structure; K_eff from this work (DFT),Mo8N4Cl28,2,0.498085349,0.0107,,0,1,structures/mp-542135.cif
mp-15635,MP structure; K_eff from this work (DFT),Ti4Tl12F24,225,0.0,0.0461,,0,1,structures/mp-15635.cif
mp-21717,MP structure; K_eff from this work (DFT),Fe28C12,62,0.004391475,0.3837,,0,1,structures/mp-21717.cif
mp-555619,MP structure; K_eff from this work (DFT),W12O32,55,0.0,0.0396,,0,1,structures/mp-555619.cif
mp-680308,MP structure; K_eff from this work (DFT),Re4Se16Cl24,56,1.153148268,0.0284,,0,1,structures/mp-680308.cif
mp-540672,MP structure; K_eff from this work (DFT),Ti14Br32,58,0.057256926,0.0392,,0,1,structures/mp-540672.cif
mp-1198917,MP structure; K_eff from this work (DFT),Zr12Mn12Ge24,55,0.241541715,0.0242,,0,1,structures/mp-1198917.cif
mp-1202614,MP structure; K_eff from this work (DFT),Cu12S4O32,62,0.125691635,0.0195,,0,1,structures/mp-1202614.cif
mp-1198455,MP structure; K_eff from this work (DFT),Mn8P8H8O24,14,0.00805442,0.0978,,0,1,structures/mp-1198455.cif
mp-1198953,MP structure; K_eff from this work (DFT),As48Cs72Nb16,61,0.010739226,0.002,,0,1,structures/mp-1198953.cif
mp-25275,MP structure; K_eff from this work (DFT),Mn16O32,227,0.0,0.2692,,0,1,structures/mp-25275.cif
mp-818574,MP structure; K_eff from this work (DFT),Fe4Se12O36,14,0.03045071,0.0693,,0,1,structures/mp-818574.cif
mp-3930,MP structure; K_eff from this work (DFT),Sc16Mn8S32,227,0.0,0.195,,0,1,structures/mp-3930.cif
mp-10754,MP structure; K_eff from this work (DFT),Fe8Rh16S32,227,0.0,0.1871,,0,1,structures/mp-10754.cif
mp-733866,MP structure; K_eff from this work (DFT),Cu4P4H24N4O20,14,0.113945499,0.0237,,0,1,structures/mp-733866.cif
mp-1193816,MP structure; K_eff from this work (DFT),Hg12Cl8O40,15,0.351839837,0.0421,,0,1,structures/mp-1193816.cif
mp-29250,MP structure; K_eff from this work (DFT),Li24V4Cl32,225,0.0,0.1311,,0,1,structures/mp-29250.cif
mp-571284,MP structure; K_eff from this work (DFT),Cs8Fe4Ni4C24N24,225,0.00147941,0.087,,0,1,structures/mp-571284.cif
mp-1202524,MP structure; K_eff from this work (DFT),K4Cu2H28C8N12O16,14,0.014837432,0.0151,,0,1,structures/mp-1202524.cif
mp-29360,MP structure; K_eff from this work (DFT),Cr8P16O52,14,0.039451725,0.0738,,0,1,structures/mp-29360.cif
mp-19470,MP structure; K_eff from this work (DFT),Na8Ni14P12O48,8,0.006727662,0.3431,,0,1,structures/mp-19470.cif
mp-744682,MP structure; K_eff from this work (DFT),Cr16Bi8O58,2,0.012678369,0.0185,,0,1,structures/mp-744682.cif
mp-732195,MP structure; K_eff from this work (DFT),Ca8Al12Si12O52,62,0.001646332,0.012,,0,1,structures/mp-732195.cif
mp-1200525,MP structure; K_eff from this work (DFT),Cs8Fe8P12O32F28,41,0.032960358,0.1601,,0,1,structures/mp-1200525.cif
mp-1204423,MP structure; K_eff from this work (DFT),Fe4H36C16N12O24,52,0.306686981,0.0,,0,1,structures/mp-1204423.cif
mp-1191089,MP structure; K_eff from this work (DFT),Mg48Mn16Ni32,227,0.0,0.1017,,0,1,structures/mp-1191089.cif
mp-583800,MP structure; K_eff from this work (DFT),Zr64Cu32,227,0.0,0.0176,,0,1,structures/mp-583800.cif
mp-644281,MP structure; K_eff from this work (DFT),Mg28Ti4H64,225,0.0,0.1018,,0,1,structures/mp-644281.cif
mp-1199595,MP structure; K_eff from this work (DFT),Mn2Sn8H48C16Se20N4,82,-0.050737725,0.066,0,1,0,structures/mp-1199595.cif
mp-698410,MP structure; K_eff from this work (DFT),Mn2Ge8H48C16S20N4,82,-0.023383121,0.0852,0,1,0,structures/mp-698410.cif
mp-1195522,MP structure; K_eff from this work (DFT),Co6H42C18N6O36,173,-0.095849647,0.0299,0,1,0,structures/mp-1195522.cif
mp-1193087,MP structure; K_eff from this work (DFT),Zr88Os32,225,0.0,0.0049,,0,1,structures/mp-1193087.cif
mp-1204035,MP structure; K_eff from this work (DFT),W30I94,5,0.00121322,0.0042,,0,1,structures/mp-1204035.cif
mp-781901,MP structure; K_eff from this work (DFT),Ni4H72I24N24,15,0.000749732,0.0211,,0,1,structures/mp-781901.cif
